time,marker
3414.0,gray
3417.0,gray
3420.0,A
3423.0,B
3426.0,A
3429.0,B
3432.0,A
3435.0,gray
3438.0,gray
3441.0,gray
3444.0,A
3447.0,B
3450.0,A
3453.0,B
3456.0,A
3459.0,gray
3462.0,gray
3465.0,gray
3468.0,A
3471.0,B
3474.0,A
3477.0,B
3480.0,A
3483.0,gray
3486.0,gray
3489.0,gray
3492.0,A
3495.0,B
3498.0,A
3501.0,B
3504.0,A
3507.0,gray
3510.0,gray
3513.0,gray
3516.0,A
3519.0,B
3522.0,A
3525.0,B
3528.0,A
3531.0,gray
3534.0,gray
3537.0,gray
3540.0,A
3543.0,B
3546.0,A
3549.0,B
3552.0,A
3555.0,gray
3558.0,gray
3561.0,gray
3564.0,A
3567.0,B
3570.0,A
3573.0,B
3576.0,A
3579.0,gray
3582.0,gray
3585.0,gray
3588.0,A
3591.0,B
3594.0,A
3597.0,B
3600.0,A
3603.0,gray
3606.0,gray
3609.0,gray
3612.0,A
3615.0,B
3618.0,A
3621.0,B
3624.0,A
3627.0,gray
3630.0,gray
3633.0,gray
3636.0,A
3639.0,B
3642.0,A
3645.0,B
3648.0,A
3651.0,gray
3654.0,gray
3657.0,gray
3660.0,A
3663.0,B
3666.0,A
3669.0,B
3672.0,A
3675.0,gray
3678.0,gray
3681.0,gray
3684.0,A
3687.0,B
3690.0,A
3693.0,B
3696.0,A
3699.0,gray
3702.0,gray
3705.0,gray
3708.0,A
3711.0,B
3714.0,A
3717.0,B
3720.0,A
3723.0,gray
3726.0,gray
3729.0,gray
3732.0,A
3735.0,B
3738.0,A
3741.0,B
3744.0,A
3747.0,gray
3750.0,gray
3753.0,gray
3756.0,A
3759.0,B
3762.0,A
3765.0,B
3768.0,A
3771.0,gray
3774.0,gray
3777.0,gray
0.0,QUIT
